,predicate,subject,object,sub,pred,obj
17833,11992,3957,500,3957,11992,500
17834,11992,8297,46,8297,11992,46
17835,11992,9086,906,9086,11992,906
17836,11992,2927,1471,2927,11992,1471
17837,11992,6842,1491,6842,11992,1491
17838,11992,1567,839,1567,11992,839
17839,11992,5329,548,5329,11992,548
17840,11992,8012,972,8012,11992,972
17841,11992,8627,1005,8627,11992,1005
17842,11992,1928,935,1928,11992,935
17843,11992,7657,295,7657,11992,295
17844,11992,2605,585,2605,11992,585
17845,11992,9048,149,9048,11992,149
17846,11992,7734,1198,7734,11992,1198
17847,11992,11905,325,11905,11992,325
17848,11992,7085,1097,7085,11992,1097
17849,11992,1979,1303,1979,11992,1303
17850,11992,3347,510,3347,11992,510
17851,11992,10821,264,10821,11992,264
17852,11992,7394,700,7394,11992,700
17853,11992,11080,1301,11080,11992,1301
17854,11992,5662,1134,5662,11992,1134
17855,11992,3609,110,3609,11992,110
17856,11992,10203,1441,10203,11992,1441
17857,11992,6680,1383,6680,11992,1383
17858,11992,5873,522,5873,11992,522
17859,11992,6220,639,6220,11992,639
17860,11992,3286,31,3286,11992,31
17861,11992,8387,1273,8387,11992,1273
17862,11992,10389,691,10389,11992,691
17863,11992,8970,463,8970,11992,463
17864,11992,2425,251,2425,11992,251
17865,11992,3604,323,3604,11992,323
17866,11992,4091,1480,4091,11992,1480
17867,11992,10326,287,10326,11992,287
17868,11992,11709,429,11709,11992,429
17869,11992,2444,1365,2444,11992,1365
17870,11992,2179,56,2179,11992,56
17871,11992,1995,1083,1995,11992,1083
17872,11992,8695,77,8695,11992,77
17873,11992,11915,211,11915,11992,211
17874,11992,10217,605,10217,11992,605
17875,11992,9004,288,9004,11992,288
17876,11992,8878,1468,8878,11992,1468
17877,11992,3725,527,3725,11992,527
17878,11992,6091,159,6091,11992,159
17879,11992,1920,133,1920,11992,133
17880,11992,11896,1157,11896,11992,1157
17881,11992,10712,0,10712,11992,0
17882,11992,9388,1270,9388,11992,1270
17883,11992,3724,987,3724,11992,987
17884,11992,3007,312,3007,11992,312
17885,11992,3830,500,3830,11992,500
17886,11992,6850,1043,6850,11992,1043
17887,11992,7284,101,7284,11992,101
17888,11992,9198,1096,9198,11992,1096
17889,11992,6729,256,6729,11992,256
17890,11992,1956,1432,1956,11992,1432
17891,11992,6039,132,6039,11992,132
17892,11992,1587,1427,1587,11992,1427
17893,11992,6739,37,6739,11992,37
17894,11992,5405,351,5405,11992,351
17895,11992,1982,623,1982,11992,623
17896,11992,1864,1085,1864,11992,1085
17897,11992,6184,439,6184,11992,439
17898,11992,1852,104,1852,11992,104
17899,11992,9334,315,9334,11992,315
17900,11992,5720,590,5720,11992,590
17901,11992,10932,208,10932,11992,208
17902,11992,10363,431,10363,11992,431
17903,11992,7172,1410,7172,11992,1410
17904,11992,10095,667,10095,11992,667
17905,11992,4413,522,4413,11992,522
17906,11992,1996,288,1996,11992,288
17907,11992,6361,373,6361,11992,373
17908,11992,8262,905,8262,11992,905
17909,11992,2494,677,2494,11992,677
17910,11992,4544,5,4544,11992,5
17911,11992,2023,325,2023,11992,325
17912,11992,2370,1190,2370,11992,1190
17913,11992,8270,224,8270,11992,224
17914,11992,3212,400,3212,11992,400
17915,11992,10465,105,10465,11992,105
17916,11992,4946,1080,4946,11992,1080
17917,11992,10042,790,10042,11992,790
17918,11992,8478,431,8478,11992,431
17919,11992,3966,1085,3966,11992,1085
17920,11992,10089,1148,10089,11992,1148
17921,11992,9795,521,9795,11992,521
17922,11992,1851,1070,1851,11992,1070
17923,11992,1994,487,1994,11992,487
17924,11992,2954,174,2954,11992,174
17925,11992,5693,1101,5693,11992,1101
17926,11992,9820,536,9820,11992,536
