,predicate,subject,object,sub,pred,obj
23142,10275,11990,5653,5653,10275,11990
23143,8090,11990,5367,5367,8090,11990
23144,7966,11990,10202,10202,7966,11990
23145,5580,11990,4139,4139,5580,11990
23146,4211,11990,9642,9642,4211,11990
23147,7884,11990,11591,11591,7884,11990
23148,6171,11990,3503,3503,6171,11990
23149,3410,11990,10390,10390,3410,11990
23150,9407,11990,3149,3149,9407,11990
23151,10458,11990,6368,6368,10458,11990
23152,10173,11990,3821,3821,10173,11990
23153,8259,11990,7269,7269,8259,11990
23154,10484,11990,1980,1980,10484,11990
23155,4712,11990,7169,7169,4712,11990
23156,6926,11990,5820,5820,6926,11990
23157,5317,11990,8803,8803,5317,11990
23158,2632,11990,3431,3431,2632,11990
23159,5031,11990,6014,6014,5031,11990
23160,1851,11990,3455,3455,1851,11990
23161,9659,11990,1941,1941,9659,11990
23162,10680,11990,8777,8777,10680,11990
23163,5601,11990,9907,9907,5601,11990
23164,2304,11990,10981,10981,2304,11990
23165,10582,11990,11979,11979,10582,11990
23166,6013,11990,3707,3707,6013,11990
23167,8948,11990,8991,8991,8948,11990
23168,10983,11990,7037,7037,10983,11990
23169,2400,11990,6119,6119,2400,11990
23170,10555,11990,8554,8554,10555,11990
23171,9343,11990,8680,8680,9343,11990
23172,8662,11990,10599,10599,8662,11990
23173,4222,11990,5284,5284,4222,11990
23174,4863,11990,8360,8360,4863,11990
23175,6854,11990,9652,9652,6854,11990
23176,7917,11990,6117,6117,7917,11990
23177,10011,11990,9114,9114,10011,11990
23178,9828,11990,10014,10014,9828,11990
23179,8423,11990,6129,6129,8423,11990
23180,11924,11990,7149,7149,11924,11990
23181,4415,11990,8069,8069,4415,11990
23182,4461,11990,9274,9274,4461,11990
23183,9270,11990,10313,10313,9270,11990
23184,5525,11990,4319,4319,5525,11990
23185,2723,11990,11933,11933,2723,11990
23186,6120,11990,10965,10965,6120,11990
23187,4066,11990,3764,3764,4066,11990
23188,8014,11990,5460,5460,8014,11990
23189,2242,11990,5264,5264,2242,11990
23190,8228,11990,6885,6885,8228,11990
23191,7926,11990,1683,1683,7926,11990
23192,5347,11990,4621,4621,5347,11990
23193,6928,11990,3143,3143,6928,11990
23194,1811,11990,6028,6028,1811,11990
23195,8475,11990,4244,4244,8475,11990
23196,2808,11990,10883,10883,2808,11990
23197,4752,11990,5445,5445,4752,11990
23198,8311,11990,9094,9094,8311,11990
23199,5037,11990,5286,5286,5037,11990
